Pixels	Line 8	Line 7	Line 6	Line 5	Line 4	Line 3	Line 2	Line 1
288.000	20.399	220.021	238.428	20.009	273.136	89.265	138.510	541.392
289.000	125.216	224.337	146.224	8.950	143.900	346.742	186.611	254.331
290.000	107.830	192.724	96.045	48.955	230.156	204.557	109.036	270.114
291.000	31.710	256.645	124.892	106.831	252.488	221.025	40.080	487.774
292.000	23.052	256.491	187.667	239.323	190.587	157.763	19.965	363.472
293.000	63.621	120.086	97.469	67.053	223.182	139.306	85.923	279.553
294.000	32.201	97.660	67.767	60.504	95.762	45.898	387.404	94.632
295.000	12.104	132.222	51.901	158.248	30.740	37.260	224.481	238.875
296.000	71.226	98.616	24.846	14.348	55.292	129.902	271.066	158.248
297.000	34.146	79.087	52.739	73.029	237.832	76.112	147.393	169.363
298.000	50.520	257.109	63.391	84.498	157.037	40.386	230.010	297.417
299.000	78.402	308.842	162.526	95.951	79.862	165.120	132.444	326.558
300.000	106.930	69.687	205.109	92.950	152.713	223.903	115.893	402.169
301.000	176.213	23.424	219.735	85.031	136.135	83.702	321.693	124.031
302.000	272.179	44.599	81.945	123.601	194.739	196.629	109.036	47.947
303.000	104.549	99.384	134.339	258.814	278.908	73.690	129.573	94.726
304.000	125.864	70.982	151.879	238.577	176.341	112.694	395.999	132.222
305.000	104.944	84.587	93.602	183.983	126.515	69.445	213.486	148.215
306.000	63.467	101.804	290.633	183.983	277.298	145.758	427.722	239.323
307.000	131.557	83.878	251.110	101.027	205.801	93.882	316.522	249.735
308.000	288.334	115.167	279.714	12.003	73.773	140.905	241.268	198.257
309.000	112.797	158.127	292.610	25.817	59.012	149.274	144.827	144.595
310.000	82.997	132.333	367.901	19.324	62.396	55.579	198.528	233.978
311.000	176.854	133.781	423.342	104.450	38.988	95.479	143.668	376.840
312.000	279.391	137.037	418.985	102.292	129.573	111.468	80.553	192.992
313.000	163.635	47.547	265.376	62.701	132.444	72.782	91.282	224.481
314.000	199.481	54.862	250.346	39.350	38.807	185.163	89.722	269.796
315.000	241.868	26.014	222.750	100.930	71.389	84.498	184.901	674.943
316.000	321.001	93.696	127.276	37.083	156.191	236.940	122.851	349.263
317.000	400.815	272.976	44.858	24.942	168.360	61.106	115.789	334.806
318.000	81.770	118.505	53.301	22.044	139.078	222.606	92.114	77.465
319.000	60.205	70.252	115.997	56.301	177.882	49.904	117.980	22.408
320.000	76.956	137.603	128.586	22.408	178.011	59.905	88.901	77.295
321.000	45.898	204.419	159.465	82.120	174.934	72.535	43.957	243.823
322.000	185.558	193.798	167.235	150.101	107.830	12.205	52.529	305.460
323.000	112.490	179.560	142.859	22.271	125.216	14.865	90.455	33.417
324.000	58.200	317.381	132.333	69.767	138.169	13.343	95.290	42.561
325.000	89.813	231.182	215.323	102.389	174.679	160.075	84.676	40.386
326.000	60.205	291.785	111.468	145.874	253.102	49.090	254.947	133.112
327.000	80.727	158.856	64.626	97.565	186.611	348.001	141.708	350.346
328.000	287.679	61.484	18.485	75.692	102.487	45.441	312.414	254.793
329.000	528.890	69.445	79.173	125.648	34.146	163.759	189.921	159.709
